"pIC50","MDEC.23","MLogP","nC","LipoaffinityIndex","VP.5","ATSp4","ATSp5","VP.4","C1SP2","ATSp2","ATSp1","VP.3","ATSp3","maxsOH","VP.2","VP.6","BCUTp.1h","AMR","apol","VP.1"
8.585,29.67689373,3.88,27,12.49046155,5.49565746,4422.633194,3967.054053,6.906859176,0,3037.658965,2568.671988,8.667904282,4237.448419,10.01394808,10.68970452,3.323672505,13.43623396,129.0304,77.263755,13.25563446
6.266,27.94869777,3.66,26,10.84735975,4.294461277,4300.663363,3846.526734,5.649123916,2,2951.092456,2493.193332,7.402906277,4120.678837,9.961828996,9.497494695,2.550398234,13.28067156,134.7554,71.936204,12.15489439
8.523,22.69869352,3.66,25,11.56875377,4.246745464,3783.618325,3366.504394,5.836800125,0,2686.165459,2302.442129,7.149880555,3693.256779,9.885492702,10.05616741,2.647568685,12.72285981,127.3088,72.410169,12.07700166
8.569,31.99630392,3.88,28,11.23729386,4.587451364,4368.783234,3876.801984,6.008176503,0,3063.806486,2605.457761,7.793611832,4243.313977,9.996097041,10.29718962,2.771673721,13.05815686,144.7958,77.158583,12.91258023
8.155,20.50767624,3.55,24,10.92489531,4.129865268,3738.899628,3235.259057,5.393958215,0,2624.586853,2240.056798,7.369955332,3637.020869,9.842211964,9.535631355,2.423043074,12.72285958,122.857,69.316583,11.59383841
6.437,33.7999109,3.55,23,6.063252948,3.123272556,5103.879975,4847.47106,4.268666251,0,2924.645131,2297.298174,5.397663379,4673.847647,9.933998698,6.833726515,1.990876269,14.02622488,112.3889,53.023102,8.569563501
8.056,26.10306475,3.55,25,10.33276649,4.721538283,4420.222952,4101.083384,6.481793341,1,3162.27301,2662.847758,8.29992834,4432.566946,9.95529736,10.20582798,3.055539171,14.1643581,135.5893,71.309411,12.6693007
8.523,29.37385862,3.88,27,12.54063996,4.885341775,4063.242609,3716.243069,6.83404794,0,2949.503346,2505.750427,8.486554239,4082.464351,9.987838381,10.81280301,3.180316904,12.98885977,130.5706,77.263755,13.2387977
8.745,33.68594064,3.88,28,9.837150447,4.119327157,4704.362539,4353.135451,5.687564346,0,3251.319427,2715.4771,7.473230519,4648.810613,9.996746954,9.689985656,2.455680539,13.45949758,144.7399,74.491411,12.44833347
8.638,31.28525518,3.88,28,11.1459875,4.571540414,4550.62215,4056.626899,5.927449661,0,3122.879643,2641.977437,7.85553695,4361.999419,9.988607813,10.17933849,2.778069702,13.40468373,144.0948,77.158583,12.87755806
8.854,35.31404006,3.66,25,8.922185541,4.102748931,4617.949827,4151.546176,5.328845206,0,3044.317842,2536.642362,6.951941247,4354.113987,9.954458083,8.788365221,2.592315949,13.44320118,133.5566,65.742239,11.0055547
9,31.38531863,3.55,25,10.05315857,4.29870079,4711.016025,4207.883339,5.49669963,0,3097.415975,2581.994633,7.368065722,4447.450071,9.97294907,9.364726362,2.775714857,13.43477455,138.1712,68.842618,11.43370256
9.155,23.4401063,3.33,22,9.066213688,4.153443215,3530.585459,3032.709291,5.311161268,0,2491.601799,2119.44479,6.833163881,3446.545196,9.8729488,8.645250669,2.594092435,13.05084297,110.3589,63.129411,10.74486035
8.854,32.53155753,3.99,28,12.06593593,4.719592968,4618.586724,4131.881987,6.121010087,0,3152.253329,2663.328415,7.974749264,4414.327655,9.991396897,10.23030603,2.956185165,13.41804677,140.8283,76.356583,12.80020779
8.444,31.97537514,3.66,26,10.69868252,4.390366739,5051.547118,4387.891776,5.736766574,0,3208.084644,2685.677997,7.584293488,4573.059045,9.99294907,9.718279753,3.020193837,13.44044282,141.0828,71.936204,11.93370256
8.77,35.31404006,3.66,25,9.657131209,4.371937357,4587.249066,4123.903625,5.67034445,0,3021.862153,2517.058728,7.353576787,4323.797912,9.959731478,9.173810416,2.724853481,13.43755269,128.6323,67.075825,11.3102496
9,31.7528437,3.66,26,10.66655321,4.369411468,4855.308166,4342.137018,5.754348752,0,3181.686329,2657.811827,7.684293488,4554.587736,9.988743026,9.495712192,2.883315818,13.4360028,142.465,71.936204,12.00982351
8.357,31.38531863,3.44,24,9.001385264,4.114665285,4550.445478,4094.99835,5.355084683,0,2993.062514,2492.969512,6.981784549,4285.309204,9.955101848,8.811450437,2.58365287,13.43231825,132.8765,65.749032,11.06114021
6.81,32.25880945,3.77,26,10.70478769,4.495243658,4539.927064,4102.505357,5.745670766,0,3049.406912,2555.156015,7.441136768,4326.651977,9.971010841,9.561259722,2.765526046,13.42444342,133.0513,70.169411,11.80020779
8.444,31.97537514,3.55,25,9.632846707,4.252946245,4862.089929,4220.098917,5.535986383,0,3096.408485,2590.350166,7.204871728,4404.199568,9.975101848,9.165003828,2.875788993,13.43798649,135.7881,68.842618,11.56114021
7.409,32.02019747,3.99,25,11.43948101,2.269208638,3516.548316,3488.117256,3.212934515,1,2365.713061,2034.416377,4.457764211,3217.245137,8.802781897,6.232737058,1.172052967,12.91287883,123.6787,60.273446,9.041809127
7.745,30.65743438,3.66,26,10.6151443,5.694506626,5111.192784,4616.752846,7.297342049,0,3493.138757,2912.804776,9.114963191,4967.567901,10.04283723,10.63251138,3.902866585,14.6868094,143.1932,73.069411,12.81910649
9,30.52896083,3.66,26,9.816994466,3.97292786,4309.978375,3984.345194,5.637032349,0,2981.32408,2503.617607,7.338702298,4210.287838,10.06019611,9.452569252,2.547730211,13.42215034,137.0188,70.971411,11.93945368
7.678,30.90106359,3.77,27,11.28052459,6.168848275,5302.221629,4695.248146,7.474118744,0,3575.896992,2992.368995,9.364963191,5057.907045,10.05672612,10.98606477,4.014669984,14.68822506,146.1048,76.162997,13.31910649
7.824,30.79101322,3.77,27,11.16456172,6.185656439,5326.341273,4771.055477,7.501362835,0,3587.067338,2999.706476,9.342085603,5074.649875,10.1339681,10.9895191,4.004084358,14.70301203,146.1048,76.162997,13.31910649
8.398,30.79101322,3.77,27,10.47627791,4.447269509,4500.427075,4062.06315,5.813809044,0,3063.933696,2583.066567,7.588702298,4300.367116,10.07576704,9.806122643,2.65953361,13.42285906,139.9304,74.064997,12.43945368
6.959,21.69941623,3.22,25,11.20706613,2.799698693,3284.105731,2902.541657,3.988577686,0,2540.945847,2242.872965,6.110401031,3318.722876,9.479514966,8.927299625,1.498225834,9.896873297,140.7909,76.019376,12.13580615
6.62,21.69941623,3.22,25,11.25696834,2.637872315,3167.338159,2828.886862,3.862589529,0,2425.940709,2136.157136,5.858424716,3176.06389,9.462879164,8.490863845,1.393235702,9.894843698,136.2025,74.396376,11.75784167
6.824,26.80689005,3.55,30,13.20867556,3.886393553,4233.768075,3845.624493,5.543478705,2,3344.763356,2930.616066,8.240199498,4442.434939,9.572743253,11.87353566,2.214694167,10.0834601,173.4056,92.153341,15.286304
7.523,22.77023195,3.33,27,11.40051251,3.11609563,3644.033748,3236.504364,4.436642143,0,2768.209457,2439.572104,6.781924141,3635.303454,9.514886248,9.74254721,1.778968638,10.02204063,152.3779,83.008548,13.19361043
7.097,21.69941623,3.11,24,10.23667886,3.30366167,3329.447896,2936.03377,4.462257401,0,2631.249643,2332.321551,6.575814129,3390.351309,9.465234188,9.398852076,1.893759665,11.17254394,140.3877,74.058997,12.62715583
6.824,25.75092608,3.44,20,8.428659681,1.659224597,2398.759956,2135.326111,2.331240987,0,1770.839408,1531.091557,3.467194616,2379.231225,9.482624335,5.062444353,0.835997934,11.86228834,101.5166,47.472688,7.077981877
6.301,29.44780595,4.1,26,13.44686235,2.305562616,3515.618531,3506.797413,3.348420112,0,2396.722551,2078.653573,4.790265908,3232.003017,0,7.115272622,1.235103367,12.86529308,132.0986,66.998997,9.906848819
7.824,29.76250033,3.66,22,9.19236294,2.086596319,3187.519164,3083.2203,2.935897703,0,2124.639867,1813.902054,4.089540559,2928.572525,9.609122272,5.666880234,1.053971058,12.81741341,110.647,53.65986,8.06129178
6.301,32.78587271,3.88,24,10.42656225,2.35951906,3492.161914,3511.482546,3.177887821,0,2311.196065,1980.933017,4.516317254,3164.539754,9.693352963,6.416880234,1.35096246,13.05319571,116.8838,59.847032,9.06129178
7.523,27.2820581,3.55,21,8.672469205,1.841620243,2887.271961,2681.501233,2.688363389,0,1983.243225,1696.960911,3.893761462,2729.437403,9.551927056,5.459773452,0.90875816,12.50303807,105.7986,50.566274,7.500631608
7.301,31.5222002,3.77,23,9.791316874,2.261629511,3366.525883,3347.976217,3.07433443,0,2228.216066,1904.696711,4.235987168,3064.16915,9.655295112,6.063326843,1.227195303,12.97460145,113.9722,56.753446,8.56129178
8.155,27.88277453,3.77,22,10.29976287,2.052413539,3071.023444,2996.136779,2.912620422,0,2064.921209,1768.227212,3.996024916,2822.591854,9.605788939,5.486031613,1.018822199,12.78800704,109.0415,52.85786,7.92700138
9.481,21.16900602,3.22,18,7.330747563,1.64068894,2271.841755,2004.98271,2.508715892,0,1598.051499,1395.021599,3.502916324,2143.703025,9.410679688,4.757961611,0.743891824,11.53377837,91.2618,46.61986,6.961268349
7.187,38.52311763,4.32,31,13.3717243,3.591484847,4537.974981,4427.097425,4.963385456,0,3066.997454,2591.366047,6.887509596,4335.865368,9.813258904,9.336305259,1.940642441,12.10853479,152.6685,80.872169,12.82170625
7.854,32.11060351,4.1,29,13.2992992,3.638559987,4336.411323,3931.861913,5.015344422,0,2971.094134,2500.835334,6.829769818,4239.670519,10.07688443,9.202791094,1.980876287,11.91129141,144.7127,76.983376,12.13645921
7.638,32.3583997,4.21,30,13.9644544,3.763559987,4611.225883,4017.37931,5.192121117,0,3065.287392,2591.74521,7.079769818,4341.608017,10.09077331,9.556344485,2.372188183,11.91164668,147.6243,80.076962,12.63645921
7.602,24.12563742,3.77,25,12.42349138,3.117064773,3458.145431,3180.579148,4.699218137,0,2476.588029,2101.887106,6.245548611,3495.733853,9.978580834,8.336531917,1.939694456,11.7257375,118.0528,69.141376,10.96873933
5.886,18.35537094,2.56,15,2.93341334,1.362630864,2195.231711,1776.026582,2.058504878,1,1493.810922,1250.444768,3.019859618,2139.970325,9.788337323,4.363407437,0.730908255,10.25884229,78.9209,37.07793,5.829513822
5.201,19.28856206,2.67,15,3.861341681,1.343386737,2003.653183,1540.838666,1.957250305,1,1414.066923,1192.299518,2.936500125,1997.009046,9.348184019,4.205837926,0.701425443,10.20002894,77.3154,36.27593,5.689240358
5.569,14.63077315,2.56,15,2.237497303,1.685750086,2716.159611,2285.771283,2.484752628,0,1653.395233,1345.517848,3.307552042,2503.155166,9.892362528,4.752312143,1.01933593,10.29497387,76.8217,37.07793,5.88846976
5.959,18.33439801,2.56,14,2.669409595,1.524363713,2202.442641,1676.547685,2.126369697,0,1425.25882,1169.777118,2.984805876,2111.476641,9.380842992,4.118021743,0.848255132,10.06602113,70.9342,33.182344,5.331529629
7.606,31.18427252,3.77,28,11.35888514,3.795908893,5567.200329,5336.783969,5.483936928,0,3565.720887,2973.758179,7.477796461,5207.274602,10.02965796,9.902459833,2.374101237,13.86984256,146.6426,78.925376,12.63056107
6.796,30.21509161,3.44,22,7.791083892,2.65396639,3413.906946,3070.200187,3.567554547,1,2265.983327,1895.956392,4.869547531,3232.827627,9.886842495,6.578935348,1.585052674,11.70409618,111.6368,54.895067,8.5666367
7.301,23.69131944,3.22,19,8.562812714,2.905600032,3409.609951,3294.248149,4.119168138,1,2327.372823,1929.494945,5.180109385,3351.151728,9.79550628,6.559288479,1.858715434,13.22019447,102.8646,49.577481,8.376082403
8.229,35.07513994,3.99,28,11.64041808,3.469926049,4470.05464,4136.945091,4.719881715,1,2954.534906,2485.94229,6.436023753,4168.477647,9.978041177,8.502254857,1.987211114,12.50675818,142.533,72.556204,11.47084894
8.252,38.82685931,4.1,31,12.6515789,4.329925487,6615.951175,6480.663242,6.239200631,0,4091.690021,3370.382751,8.197453749,6057.863874,10.12204471,10.5588122,2.650792212,14.15834229,160.5576,84.205376,13.63056107
8.097,32.83111667,3.88,26,11.89410037,2.988837993,4127.240813,3843.129941,3.979805666,1,2703.934543,2282.246225,5.554039314,3827.595595,9.935277009,7.797261453,1.835458858,12.50435509,133.4585,66.900618,10.15547033
9.301,36.10653415,4.21,28,13.51626798,3.735823722,4117.502828,3890.252878,5.347910626,0,2801.500411,2355.32477,6.930534064,3959.093357,10.00542516,8.88288425,2.309375872,12.69823192,134.7237,72.654583,11.59633447
6.921,26.3315327,3.11,21,7.079427649,2.940792305,4424.302035,4010.221821,3.904510922,0,2802.749236,2326.434581,5.36693592,4121.975087,9.898617344,7.121423561,1.830729184,13.01398227,115.8847,56.837067,8.968278856
8.036,36.0042801,3.99,29,12.36221808,3.746047933,4354.76493,4077.30872,5.544969074,0,3028.24784,2538.448914,7.348056795,4305.146071,10.07384289,9.65998751,2.315901007,12.4060923,144.4089,77.785376,12.62323436
7.275,27.16148554,3.66,22,11.42469749,3.636130924,3284.358759,2971.995825,4.619672085,0,2216.248317,1867.468666,5.853000342,3118.705535,9.865237383,7.417596018,2.14543861,12.13538373,100.7575,58.625411,9.445579413
8.174,27.16148554,3.66,22,10.73368212,2.772277887,3238.890818,2927.110078,3.68438871,0,2178.087194,1833.465324,4.84353784,3070.598234,9.83355114,6.367580617,1.671324919,12.09928995,110.4656,54.624653,8.485071534
6.25,33.64954401,3.99,28,11.58662526,3.343118676,4224.612055,4025.507039,4.983332368,1,2865.45142,2413.222826,6.707227077,4041.168528,9.995042177,8.866470277,1.973016097,12.45093547,138.1127,73.88979,11.81823531
7.697,28.39410049,3.55,22,9.511050826,2.774984106,3180.643037,2834.628115,3.684697744,0,2189.843621,1845.788848,4.881159014,3089.06629,9.905868855,6.682455652,1.700215648,11.67000588,111.8055,55.426653,8.558686914
7.526,26.79061535,3.55,21,10.69705359,3.619983322,3394.413574,3145.261664,4.512567584,0,2203.577678,1836.995277,5.587215929,3154.146964,9.854156995,7.004987543,2.097110029,12.49207012,96.3057,55.531825,8.962416165
7.553,34.93667779,3.55,25,8.937401907,3.625184651,5636.705845,5249.141585,4.770922012,0,3435.352966,2814.582214,6.364370987,5139.57083,10.03995938,8.277775933,2.262950323,13.34127819,134.0817,65.210653,10.37896246
6.783,21.93033619,2.56,17,8.540813454,2.573026089,3094.605892,2786.589407,3.263850191,1,2014.537813,1680.629345,4.572632095,2912.802541,9.632976595,6.49918582,1.567447159,12.02585165,93.829,46.013309,8.014996349
8.284,29.48902175,3.66,27,10.77620974,3.652519387,5363.830243,5172.862843,5.371416067,0,3447.522164,2874.631454,7.200018683,5017.357266,10.00367451,9.402459833,2.215485619,13.83054588,142.3606,75.83179,12.21987747
6.951,38.11769915,4.1,31,12.7581159,4.257101988,6335.696582,6047.888713,6.110514039,0,3992.204149,3304.01526,8.173194591,5875.498921,10.10426736,10.59836425,2.640112677,13.99444402,160.5576,84.205376,13.62457801
6.629,20.16244096,2.67,17,8.474654032,2.243539798,2769.300979,2510.534505,2.989776028,1,1779.021507,1474.681539,3.97353398,2581.132434,9.588856607,5.442642671,1.308489262,11.83128853,86.2948,43.630102,7.12233224
7.532,33.41842504,3.99,30,12.51466797,3.987850607,5843.75853,5656.616111,5.890463193,0,3734.644651,3126.38544,7.918840522,5420.404407,10.0733535,10.48335785,2.502521553,13.89931535,154.8162,85.112548,13.69122124
7.513,26.79061535,3.55,21,10.12080375,2.66953708,3332.479052,3080.758426,3.505782081,0,2160.826237,1799.82811,4.5580113,3096.387729,9.814383594,5.975280196,1.554636782,12.41988259,105.6002,51.531067,8.011944988
7.939,31.17988221,3.99,27,12.90242102,3.340549432,4048.275928,3829.544693,4.915620546,0,2759.335105,2321.92,6.513465404,3896.704435,9.991819717,8.530841468,2.001907259,12.53073188,134.117,71.32779,11.36411117
7.37,18.71441723,3.22,18,9.075535391,2.447504165,2730.414287,2410.813081,3.273255045,0,1801.364061,1516.477234,4.122340974,2570.693533,9.682420883,5.850914382,1.349697632,11.77869601,90.1323,47.584653,7.300620122
8.328,31.61115791,4.1,28,13.48658553,3.470569564,3965.847354,3723.564781,5.089087219,0,2782.566289,2359.023766,6.753900984,3883.168218,10.00999202,8.957972407,2.088423595,12.37043538,138.2814,74.421376,11.81028553
7.542,23.678345,3.11,23,11.01663303,2.914552149,3474.835091,3242.961601,4.399614493,1,2374.542922,1994.660152,5.928988084,3375.525824,9.76629273,7.998203942,1.755759739,11.94213813,114.8116,63.426825,10.47449842
7.354,25.07195175,3.44,24,9.467139992,2.912078578,3498.44504,3285.191594,4.421063228,0,2412.193133,2046.87746,5.927947975,3378.666208,9.876572803,7.89421253,1.754401674,12.01529433,119.7188,67.65179,10.85745777
7.87,30.87897263,3.66,27,10.78157399,4.465840262,4579.871234,4079.923145,5.790727763,0,3081.06329,2591.415221,7.69745949,4349.623717,9.889545045,9.921985039,2.704794892,13.39060917,140.0582,73.955204,12.54510258
8.523,30.90106359,3.77,27,10.5771773,4.424384134,4479.177597,3993.734054,5.786564953,0,3054.050592,2576.569862,7.611579886,4285.592752,9.977508008,9.802668319,2.688157519,13.39345285,139.9304,74.064997,12.43945368
4.481,16.07806156,2.45,14,3.053459589,1.313583177,1845.45836,1414.962599,1.916443778,0,1337.008716,1134.086614,2.851272009,1877.731766,9.758892878,4.205685205,0.689784436,9.632602862,76.9476,36.282723,5.690454403
7.553,28.36239242,4.32,30,15.04566897,4.083493717,5236.24845,4833.109412,5.637773261,0,3253.785157,2714.057685,7.644867522,4748.419647,10.12187072,9.925990782,2.3650815,13.8313727,145.9482,80.608548,12.66285241
8.62,30.49690889,3.66,27,10.5921009,4.66576923,4990.395108,4436.557231,6.110464313,0,3303.634241,2772.355517,8.278472474,4688.542898,10.30544011,10.24394758,2.928460755,13.63795342,144.6466,75.578204,12.92905012
8.854,29.27157947,3.44,24,9.012737398,3.592150371,4150.605377,3827.193528,4.6842765,0,2772.833223,2336.312197,6.271004829,3923.096943,10.02059541,8.70709761,2.356607199,13.42007178,133.1646,66.117825,10.70142534
6.071,18.37799898,2.78,16,5.119459065,1.638170189,2203.344941,1807.325636,2.259732216,0,1522.42128,1292.272589,3.292362164,2145.967526,9.504410398,4.710686835,0.900476483,10.50865141,82.9132,41.667895,6.54768488
8.398,36.10653415,4.21,28,13.51626798,3.735823722,4117.502828,3890.252878,5.347910626,0,2801.500411,2355.32477,6.930534064,3959.093357,10.00542516,8.88288425,2.309375872,12.69823192,134.7237,72.654583,11.59633447
5.252,19.20325567,2.67,15,3.968233982,1.898608311,2240.201668,1709.975735,2.671049018,0,1573.605552,1284.837509,3.52858977,2357.11229,9.526149219,4.801138665,1.15123476,10.03793864,77.7482,37.240723,6.110798156
7.149,30.5912189,4.54,32,16.37924363,4.203771866,5585.034071,5179.9378,5.952231818,0,3460.119588,2892.327488,8.170650945,5040.139494,10.17383763,10.83667438,2.500751545,13.87066049,154.7139,86.79572,13.60622808
7.457,30.87897263,3.88,28,11.13838619,4.617793494,4765.2533,4241.07422,5.982311155,0,3194.730316,2690.681313,7.946571365,4518.882065,10.2544505,10.25706011,2.845357645,13.45734378,144.2124,77.158583,12.85612035
5.066,14.16384478,2.78,16,5.413430174,1.599121059,2352.855325,1920.154594,2.286683234,0,1598.580608,1342.369165,3.25178219,2339.847744,9.515653785,5.271684295,0.85357654,10.8230268,84.5481,41.667895,6.362076558
7.77,31.31111941,3.99,26,12.29480204,2.339745397,3632.708197,3594.758725,3.371697393,0,2456.591482,2124.430684,4.883781551,3338.322089,9.743624367,7.296121242,1.270252227,12.89469945,133.7041,67.800997,10.04113922
8.796,31.00291116,3.77,27,10.60668846,4.456813658,4473.088332,3987.595653,5.735270547,0,3050.776733,2574.362426,7.629811519,4281.348194,9.967413466,9.802668319,2.676388705,13.37874975,139.9304,74.064997,12.43945368
8.523,30.79101322,3.77,27,10.47627791,4.447269509,4500.427075,4062.06315,5.813809044,0,3063.933696,2583.066567,7.588702298,4300.367116,10.07576704,9.806122643,2.65953361,13.42285906,139.9304,74.064997,12.43945368
9.097,33.06423176,3.88,28,11.16015924,4.66734569,4642.108654,4144.86479,5.91647097,0,3166.525171,2671.210358,8.016271981,4454.147531,10.08868942,10.42798446,2.864854793,13.4231663,145.5541,77.158583,12.83330053
6.745,17.27513324,2.78,17,5.58882344,2.016664067,2939.981047,2482.221902,2.935628964,0,1947.74613,1645.907209,4.306137579,2791.044371,9.757149228,6.141723776,1.268488079,11.05497214,94.7294,47.144688,7.862998719
5.553,15.13070482,2.56,15,3.602160537,1.472252304,2168.509572,1748.037806,2.170277436,0,1489.552978,1255.388363,3.123728751,2130.237952,9.845155161,4.61563616,0.819580712,10.25309043,81.6071,39.376309,6.149953542
9.097,30.49690889,3.66,27,10.63304376,4.436536396,4649.126714,4148.821743,5.820709303,0,3093.975094,2598.039311,7.75890196,4377.46152,9.889545045,9.865983103,2.712886054,13.38207799,140.0582,73.955204,12.55108565
7.509,28.22324369,4.21,29,14.37527413,3.609152068,5045.253796,4754.589496,5.460996566,0,3171.052127,2634.519163,7.394867522,4658.099016,10.10629978,9.572437392,2.253278101,13.82995585,143.0366,77.514962,12.16285241
5.963,30.90106359,3.55,27,8.725323574,3.929521248,5484.420582,5148.200499,5.305902318,0,3432.542515,2851.790236,7.181231757,5042.473069,9.934915416,9.554903903,2.213260753,14.16345241,140.7785,75.668997,12.27898991
7.149,28.43741161,4.32,31,15.84640584,4.200929891,5638.372554,5314.596443,5.852157028,0,3474.385374,2898.366025,7.957031413,5071.666405,10.18328486,10.50472092,2.453660438,13.93876911,155.2853,85.468927,13.2808864
8.699,30.84318014,3.88,28,11.14842318,4.648651056,4847.483079,4383.476756,6.079593681,0,3227.392007,2712.965728,8.086374638,4577.306106,10.1482468,10.22998052,2.894993036,13.53593757,144.2124,77.158583,12.85612035
7.924,29.67689373,3.88,27,11.84224653,4.399521842,4361.522297,3906.766583,5.765282027,0,2994.001881,2530.708318,7.518064243,4178.647085,9.974174675,9.621819699,2.623134307,13.36404647,138.3249,73.262997,12.30516328
5.921,17.63626174,2.67,16,4.053322168,1.652124037,2389.832003,2015.455149,2.342050465,0,1599.558316,1348.824427,3.37991392,2283.810565,9.917859242,4.870297867,0.940785237,10.56746415,84.5187,42.469895,6.687958344
7.456,28.36239242,4.1,29,14.55089222,4.106357443,5287.166906,4885.352715,5.660088831,0,3296.72131,2750.51239,7.689498662,4802.056741,10.12641461,10.00329418,2.384566739,13.85319558,146.3824,79.028169,12.72979912
8.796,30.90106359,3.77,27,9.886238568,3.930784479,4552.61581,4060.965706,5.260460218,0,3098.497688,2613.182732,7.092659202,4351.534181,9.961446028,9.367623364,2.293379068,13.44895295,142.1086,72.731411,12.15245762
7.569,28.22324369,3.99,28,13.88033687,3.632015794,5096.164838,4806.820928,5.483312135,0,3213.98637,2670.97245,7.439498662,4711.732587,10.11084368,9.649740793,2.27276334,13.85177872,143.4708,75.934583,12.22979912
7.31,28.43741161,4.1,29,14.54211251,4.102173764,5343.188795,4994.279256,5.741610492,0,3321.134586,2767.787062,7.654193966,4840.69881,10.13313692,10.00674851,2.417313164,13.91430584,146.3824,79.028169,12.72979912
8.268,30.87897263,3.66,27,10.61659464,4.683962384,4840.962046,4306.746099,5.944380249,0,3247.871973,2733.319327,8.000192806,4593.926242,10.30544011,10.32918517,2.852285951,13.45457834,144.6466,75.578204,12.92306706
8.276,30.85132801,3.88,28,11.11427673,4.565007319,4844.775274,4390.157474,6.136151106,0,3220.61155,2707.724114,7.884693069,4564.768036,10.15834134,10.26155863,2.913263477,13.47204704,144.2124,77.158583,12.85612035
9,30.49690889,3.66,27,10.63304376,4.436536396,4649.126714,4148.821743,5.820709303,0,3093.975094,2598.039311,7.75890196,4377.46152,9.889545045,9.865983103,2.712886054,13.38207799,140.0582,73.955204,12.55108565
8.523,30.90106359,3.77,27,10.5771773,4.424384134,4479.177597,3993.734054,5.786564953,0,3054.050592,2576.569862,7.611579886,4285.592752,9.977508008,9.802668319,2.688157519,13.39345285,139.9304,74.064997,12.43945368
8.174,34.07599949,3.99,28,11.45208792,3.704535787,3979.061194,3559.338932,4.928296026,0,2732.081725,2319.347151,6.764756723,3816.43361,9.943750914,9.052425031,2.099510155,11.62975516,135.7486,74.258583,11.88177614
8.208,29.67689373,3.88,27,11.84224653,4.399521842,4361.522297,3906.766583,5.765282027,0,2994.001881,2530.708318,7.518064243,4178.647085,9.974174675,9.621819699,2.623134307,13.36404647,138.3249,73.262997,12.30516328
9.292,30.84318014,3.66,27,10.64833432,4.688506342,4943.7698,4463.723602,6.13955913,0,3293.30323,2765.758085,8.163433486,4669.671014,10.17441964,10.30210557,2.935337259,13.62325028,144.6466,75.578204,12.92306706
7.538,26.33236604,4.21,29,14.40815663,3.95909253,5046.67697,4676.663151,5.521003898,0,3140.416726,2618.465872,7.367089744,4568.593889,10.09133812,9.425990782,2.248729142,13.79208522,141.6662,77.514962,12.25216881
7.252,26.52501226,4.32,30,15.07847465,4.08409253,5322.627326,4763.821814,5.697780594,0,3234.863373,2709.561264,7.617089744,4671.00987,10.10690905,9.779544173,2.640041038,13.7935021,144.5778,80.608548,12.75216881
7.602,30.84318014,3.66,27,9.16050777,4.484106299,4709.437892,4255.518099,5.832022999,0,3145.312788,2642.076009,7.768232915,4454.636604,10.46905444,9.932208224,2.728429672,13.43756242,141.5359,74.866997,12.57972714
7.721,31.33212062,4.1,28,13.57254149,3.814891081,4238.821846,3907.425694,5.092397241,0,2841.969895,2401.387281,6.763465404,3986.828902,10.00739065,8.884394858,2.113710658,12.53214914,137.0286,74.421376,11.86411117
